ticker,model,fold_id,n_train,n_test,alpha,intercept,coef_abs_sum,coef_abs_max,pred_sd_over_train_sd,C,p_up_mean,p_up_sd,single_class
KO,Ridge (returns),3,1764,252,10000.0,0.00037331084013725064,0.001147138863511545,7.784759334589621e-05,0.05818572905372501,,,,
KO,Ridge (returns),4,2016,252,10000.0,0.00035736105264341236,0.0009945762439682814,6.35926141362752e-05,0.06071001729859399,,,,
KO,Ridge (returns),5,2268,252,10000.0,0.00035515351993029845,0.0010596821748214491,6.705301248513268e-05,0.09372937329555327,,,,
KO,Ridge (returns),6,2520,252,10000.0,0.0002983988644331621,0.0015325798027798203,0.0001469902863156998,0.10845784382639409,,,,
KO,Ridge (returns),7,2772,252,100000.0,0.00035340908423284537,0.0003085473947785071,2.5521881915752126e-05,0.013396400592043865,,,,
KO,Ridge (returns),8,3024,252,100000.0,0.00038953129498836504,0.00030643139741717314,2.561923584757e-05,0.01779441874703018,,,,
KO,Ridge (returns),9,3276,252,100000.0,0.0003695873403325807,0.00031595661488905167,2.5097153894974828e-05,0.013785626147161478,,,,
KO,Ridge (returns),10,3528,252,100000.0,0.00035278890294218536,0.00031179943257493673,2.568162995069545e-05,0.016172144799741012,,,,
KO,Ridge (returns),11,3780,252,1000000.0,0.0003712462984500061,3.522155072807211e-05,2.562263677668427e-06,0.001658839073001071,,,,
KO,Logistic (direction),0,1008,252,,0.09979615032308843,0.29153558567749666,,,0.001,0.5173244024710195,0.027606294298369652,False
KO,Logistic (direction),1,1260,252,,0.09252902786954231,0.29643146284123945,,,0.001,0.5226438514130176,0.02747385382285019,False
KO,Logistic (direction),2,1512,252,,0.08242315156105363,0.3030709455354923,,,0.001,0.5117975128447638,0.018383809051350557,False
KO,Logistic (direction),3,1764,252,,0.07535543142912524,0.32084001286191166,,,0.001,0.5054772357797115,0.03024190156361108,False
KO,Logistic (direction),4,2016,252,,0.09331692012802506,0.0727614604710339,,,0.0001,0.524656303494707,0.010557424244311294,False
KO,Logistic (direction),5,2268,252,,0.08999405933328095,0.07167398091027202,,,0.0001,0.5206867261442146,0.014806487927012087,False
KO,Logistic (direction),6,2520,252,,0.08735303850705495,0.0789093608328269,,,0.0001,0.5201786753393114,0.015746392280434587,False
