model,ticker,n_folds,n_days,r2_pooled,r2_fold_mean,r2_fold_sd,r2_fold_median,r2_fold_mean_excl_worst,worst_fold,worst_fold_r2,directional_accuracy,majority_class_rate,pt_p_value,rmse_bps,excluded_fraction,da_minus_majority_pooled,da_minus_majority_fold_median
Tree Ensemble,XOM,12,3024,-0.20418769391517877,-0.08594001929300905,0.1936625623287913,-0.01399620355510689,-0.03475602025263307,6,-0.6489640087371449,0.507818052594172,0.5131485429992892,0.13538010705852482,185.57455002766486,0.06944444444444445,-0.005330490405117239,-0.023451198129748663
Ridge (returns),AAPL,12,3024,0.00042283881942495327,-0.001056218832957062,0.011185471540564746,0.000422165397804819,0.0012706951059328468,10,-0.02665227216074606,0.5319829424307037,0.5348258706467661,0.16214351613715372,178.0456224711416,0.06944444444444445,-0.002842928216062468,0.0
Ridge (returns),AMZN,12,3024,0.0001001802701523502,0.00017948448303811704,0.0015447987995249345,0.00046238831420725157,0.0005323180178433292,0,-0.003701684399819216,0.5291023842917251,0.5301542776998598,0.6583380834494209,206.1553575954569,0.056878306878306875,-0.0010518934081347187,0.0
Ridge (returns),AVGO,12,3024,0.0034262836994699564,0.0046399847478597695,0.01809301255652316,0.008920849511916906,0.008490462621949978,5,-0.03771527186713253,0.5410577592205985,0.5340988169798191,0.002373423748419663,242.7403150703717,0.0496031746031746,0.00695894224077942,2.5508468811608065e-05
Ridge (returns),BA,12,3024,-0.09917630465604987,-0.027038029606943792,0.09241550186110667,2.076979668169665e-05,-0.0003622217920249617,6,-0.3204719155710509,0.5202536104262064,0.5174357168016908,0.24270282684172678,256.7655026646984,0.06117724867724868,0.002817893624515677,0.0
Ridge (returns),BAC,12,3024,-0.007515346369072695,-0.008836541500833767,0.01862262081575015,5.189285290252421e-05,-0.003922275524571795,9,-0.06289346723971545,0.5036906854130053,0.513884007029877,0.4218962647236437,190.41463671790603,0.05919312169312169,-0.010193321616871698,0.0
Ridge (returns),BRK-B,12,3024,-0.0040766103969207546,-0.013809369586313383,0.039458741348765924,-0.01748922866370639,-0.007716181977017188,3,-0.08083443328857154,0.5104052573932092,0.5235487404162102,0.37885535380727176,119.3065183807109,0.09424603174603174,-0.013143483023001057,-0.021645427286356766
Ridge (returns),CAT,12,3024,-0.002499971101787013,-0.002239059077725388,0.009086756915068009,0.00027917659400661377,-0.00021140606399021195,8,-0.024543242228812323,0.5176304654442877,0.5229196050775741,0.2114706341484971,186.55500744473503,0.062169312169312166,-0.005289139633286366,-0.008459722420947169
Ridge (returns),CRM,12,3024,-0.0005392801579615636,-0.0007753323693288535,0.007567379100957058,0.0015714455268706073,0.0005601179378532661,11,-0.01546528574833217,0.5270555165144062,0.5263527758257203,0.10060007482024375,219.25218225571888,0.05886243386243386,0.0007027406886859211,0.0
Ridge (returns),DIS,12,3024,-0.000396963423391794,-0.00037356959311043064,0.0014557597492693855,-2.576098229434276e-05,9.223609426880294e-06,7,-0.004584294821020851,0.5039313795568263,0.5039313795568263,,172.4758058932836,0.07473544973544974,0.0,0.0
Ridge (returns),GOOGL,12,3024,0.0006302931666164469,0.00022733794466818966,0.002775708644038375,0.0004746555698408317,0.0006037991755508978,11,-0.003913735595041601,0.5301800211789622,0.5393575714789975,0.3099506369554135,177.94650805350477,0.06316137566137567,-0.009177550300035309,0.0
Ridge (returns),GS,12,3024,-0.010589025190366863,-0.011281637659127272,0.013863968531229271,-0.007583438133603626,-0.008234169453901057,7,-0.044803787916615656,0.5052966101694916,0.524364406779661,0.788985120139824,180.57445907712392,0.06349206349206349,-0.01906779661016944,-0.02548773385746525
Ridge (returns),HD,12,3024,-0.00020632388625041465,-0.0005514379730867103,0.004767546920557811,0.0003793898636225146,0.0006066675214776541,9,-0.013290598413294719,0.5371100752958049,0.5320903549659376,0.025501550260522133,151.28368162743791,0.07771164021164022,0.005019720329867305,0.0
Ridge (returns),JNJ,12,3024,0.0010184760000944149,-0.0002211206655989284,0.004047743882404074,-0.0003574124320278038,0.0002544604447920686,9,-0.005452512879899896,0.5191881918819188,0.5287822878228783,0.38887382569558876,113.16204968947493,0.10383597883597884,-0.009594095940959502,-0.010898792837118865
Ridge (returns),JPM,12,3024,-0.008144475245083438,-0.012500824144961611,0.0205468978723081,-0.014524981174969698,-0.009103356985340816,8,-0.04987296290079035,0.507505360972123,0.5293066476054324,0.5370688637251889,167.92517759299787,0.07473544973544974,-0.02180128663330949,-0.02761408551922384
Ridge (returns),KO,12,3024,-0.0043293774725512435,-0.0023002872053953884,0.0094002261097971,1.7722134762920838e-05,-0.0007031554126124047,3,-0.019868736926008213,0.5257312106627176,0.5298037763791188,0.302949934831367,111.31875570123398,0.10681216931216932,-0.004072565716401244,0.0
Ridge (returns),MCD,12,3024,-0.0006721632380193299,0.0001827075388924071,0.007252973137495244,-0.0008308889866378566,0.0009603812020527332,3,-0.00837170275587118,0.5399853264856933,0.532648569332355,0.01461378756262696,124.40362220274025,0.09854497354497355,0.007336757153338258,0.0021459227467811037
Ridge (returns),META,10,2520,8.582953635771773e-05,0.00046405207925568346,0.005446158498584634,0.0006876825598386427,0.0018876682347210602,9,-0.012348493319932707,0.5278126306984525,0.5244667503136763,0.16222388502230423,248.67695926293794,0.05119047619047619,0.003345880384776234,0.0
Ridge (returns),MRK,12,3024,0.0006838822983230575,-0.0004306206223269419,0.009063470684684969,-0.0018815168995804932,0.0010886711935379995,3,-0.017142830596841296,0.507787033683448,0.5201014125316914,0.32921543614015475,140.61466265715902,0.08697089947089948,-0.01231437884824338,-0.023913043478260787
Ridge (returns),MSFT,12,3024,0.0019927952871884314,0.0005190122497348756,0.011497249638626443,0.0006393093066714983,0.0017907309071346028,8,-0.013469892981662124,0.5265804597701149,0.5352011494252874,0.37748024403788344,166.98579796396388,0.07936507936507936,-0.008620689655172487,-0.010776652725805247
Ridge (returns),NEE,12,3024,0.0007434643046541067,0.001480459013966105,0.006197039885086136,-0.0007072340299172919,0.002224545929187749,8,-0.0067044970534719805,0.5496428571428571,0.5503571428571429,0.009379770588343609,152.35907057281767,0.07407407407407407,-0.0007142857142857784,-0.004149377593360981
Ridge (returns),NFLX,12,3024,-0.000151268423967732,-0.00026749285635802034,0.0014368525836235518,1.1488540412663006e-05,0.00011527351006323062,5,-0.004477922886991781,0.5135041551246537,0.5138504155124654,0.8366237328758823,272.16590770063254,0.04497354497354497,-0.0003462603878116033,0.0
Ridge (returns),NKE,12,3024,0.0003661907457506164,0.001121162984755869,0.006810466874212832,-7.651980847367401e-05,0.002297555879617108,5,-0.01181915885871776,0.5146115466856735,0.50784034212402,0.07581536669306695,192.44144371416218,0.07208994708994709,0.006771204561653588,0.002083333333333326
Ridge (returns),NVDA,12,3024,0.001397538169979451,0.001737466141622938,0.011141028260814138,3.9404167699264026e-05,0.00331868697934183,7,-0.015655963073284873,0.5321195465475782,0.5465475781518379,0.7206778175394598,295.7352781873793,0.03736772486772487,-0.01442803160425965,0.0
Ridge (returns),ORCL,12,3024,-0.0016285559575890396,0.0009744176383259529,0.008674384477251983,0.0006143051063184357,0.002071159522695916,11,-0.011089743089743642,0.522095509622238,0.5367070563079116,0.6425621162891384,198.511603289298,0.07208994708994709,-0.014611546685673549,-0.0021929824561403577
Ridge (returns),PFE,12,3024,-0.0026173468727517246,-0.003021885640483696,0.0073287019668765,-0.00011756452566247244,-0.0010773447908209292,1,-0.024411834986774128,0.5084562792371357,0.5023389708528248,0.16813373970686307,144.99214959452075,0.08101851851851852,0.006117308384310904,-0.008724131384089617
Ridge (returns),PG,12,3024,0.0014708451728747685,-0.002603108626458591,0.017503963402572823,-0.005703594469580575,0.00021087213415970187,1,-0.03355689699325981,0.5186691312384473,0.5275415896487985,0.13742630877069517,114.34558403570882,0.105489417989418,-0.008872458410351225,-0.010482161300259085
Ridge (returns),TSLA,11,2772,-0.00029328026615216274,-0.0003085389835591731,0.0008199212318256409,0.0002144954672466115,-0.00014513323730003247,0,-0.0019425964461505796,0.5172926738564522,0.5172926738564522,,362.44812492197997,0.029942279942279944,0.0,0.0
Ridge (returns),UNH,12,3024,-0.008352874706877733,-0.0031227872284467404,0.013168593405344058,0.0035726560607641233,-0.001044642741864403,6,-0.02598237658085245,0.5238600212089077,0.5291622481442205,0.22842823290426134,184.61287667315054,0.06448412698412699,-0.005302226935312793,0.0
Ridge (returns),WMT,12,3024,-0.0034130096231965723,-0.00479288874190284,0.01657065141047744,-0.0011007554483360993,-0.002014464368933357,7,-0.03535555684456715,0.5105839416058394,0.537956204379562,0.887151568337656,133.44765002501512,0.09391534391534391,-0.027372262773722622,-0.01295183595612781
Ridge (returns),XOM,12,3024,-0.01315065715722441,-0.007036300875597201,0.02498684341726686,6.746211055952411e-05,-0.0009136161988087481,5,-0.07438583232027018,0.5181236673773987,0.5131485429992892,0.0442332457838404,170.21911925630087,0.06944444444444445,0.00497512437810943,0.0
Logistic (direction),AAPL,12,3024,-0.0004686200646950578,-0.0006067895833868631,0.0009484974582400211,-0.0006009034918361689,-0.0004673058255429559,1,-0.002141110919669842,0.5330490405117271,0.5348258706467661,0.6540158979201889,178.12499852420393,0.06944444444444445,-0.0017768301350390425,0.0
Logistic (direction),AMZN,12,3024,-0.0009211688676333818,-0.0021034422224435467,0.0075178896999223335,0.00012401002431178254,-0.00019664028879189994,3,-0.02307826349261166,0.5157784011220197,0.5301542776998598,0.8837757129784659,206.2606195685484,0.056878306878306875,-0.014375876577840119,0.0
Logistic (direction),AVGO,12,3024,0.0034342246407292887,0.0029617088996862404,0.0070437497645621135,0.0021819945573306465,0.0044562477027489744,9,-0.013478217934003833,0.5313152400835073,0.5340988169798191,0.3771597272286976,242.739347961571,0.0496031746031746,-0.0027835768963118124,-0.0020576131687242982
Logistic (direction),BA,12,3024,-0.008966376665820563,-0.0045535721227707255,0.01495004814896731,-0.0013751709184878225,-0.0004004629410275492,5,-0.05023777312194566,0.5234237407537865,0.5174357168016908,0.056883430448673784,246.00353196080667,0.06117724867724868,0.0059880239520957446,0.0
Logistic (direction),BAC,12,3024,-0.0020227363925060526,-0.003542255522094121,0.005201005142420512,-0.0033367962981416532,-0.0026764769794783605,2,-0.013065819490867492,0.5043936731107206,0.513884007029877,0.09603140026079032,189.89489145207892,0.05919312169312169,-0.009490333919156435,-0.008456697418293635
Logistic (direction),BRK-B,12,3024,0.0093035687941323,0.003936891268397589,0.01881977621422557,0.003294017678092509,0.006770564003808821,3,-0.027233508821125962,0.5180722891566265,0.5235487404162102,0.1699452570143426,118.50892162970369,0.09424603174603174,-0.005476451259583737,-0.024368657068680605
Logistic (direction),CAT,12,3024,2.572253921917511e-05,-0.0004970320880994342,0.003717631053329737,0.0012586658423986985,0.0001879422727595034,3,-0.008031750057547749,0.5098730606488011,0.5229196050775741,0.8564393032442195,186.31985634414278,0.062169312169312166,-0.013046544428772955,-0.010560344827586166
Logistic (direction),CRM,12,3024,0.0015344763631102154,0.0008624269387017361,0.00620597334384127,0.0007952645486205001,0.001991758892021926,7,-0.011560224547820352,0.5235418130709768,0.5263527758257203,0.4384812459887296,219.0248491110864,0.05886243386243386,-0.0028109627547434624,-0.004273504273504258
Logistic (direction),DIS,12,3024,-0.0022394436332393575,-0.004717064768178125,0.011450176341955914,-0.0031518501365405127,-0.0019402533334747355,2,-0.03526199054991541,0.5039313795568263,0.5039313795568263,0.43532978211298334,172.63456141033237,0.07473544973544974,0.0,-0.004390103013382107
Logistic (direction),GOOGL,12,3024,0.0008924141850907841,0.0010312327945218858,0.0015725823058144672,0.0009860607651311915,0.0013257576395850296,5,-0.0022085405011726955,0.5393575714789975,0.5393575714789975,,177.92317005431556,0.06316137566137567,0.0,0.0
Logistic (direction),GS,12,3024,-0.0011080669903733575,-0.003222898716013639,0.006349355626565593,-0.002114552065840436,-0.0023839396639279346,1,-0.01245144828895639,0.5176553672316384,0.524364406779661,0.6886919864062525,179.72542293174865,0.06349206349206349,-0.0067090395480225995,-0.002136752136752129
Logistic (direction),HD,12,3024,0.00023041320115047004,0.00023721765150294671,0.002787685851994559,-0.00030637736326188936,0.000615866203189521,10,-0.003927916417049371,0.5320903549659376,0.5320903549659376,,151.250649238555,0.07771164021164022,0.0,0.0
Logistic (direction),JNJ,12,3024,0.004813000732946993,0.0024408314255995414,0.007135015044914642,0.0013638310495148742,0.0033917803890079934,1,-0.008019607171893428,0.5321033210332103,0.5287822878228783,0.035295494466455614,112.94692823016922,0.10383597883597884,0.0033210332103320583,0.002183406113537123
Logistic (direction),JPM,12,3024,0.0008920741229009321,-0.0013108196140989108,0.0047425177961552736,-0.0009095829041717574,-0.00038379128049029465,9,-0.011508131283793688,0.5225160829163689,0.5293066476054324,0.5199940176140438,167.17088096897118,0.07473544973544974,-0.006790564689063583,-0.012720086237872769
Logistic (direction),KO,12,3024,0.0011776719862524043,-0.000165211362323651,0.010085317261737786,-0.0017252509408307026,0.0017996607115022822,3,-0.021778804174408917,0.5231395779340985,0.5298037763791188,0.641826376948783,111.0131385460149,0.10681216931216932,-0.0066641984450203084,0.0
Logistic (direction),MCD,12,3024,-0.0010374329175195651,-0.0019502657840427078,0.006043650089650058,-0.0010354246184606786,-0.0006110831432876062,9,-0.016681274832348825,0.5355832721936904,0.532648569332355,0.1505926451720283,124.42632530515517,0.09854497354497355,0.0029347028613353476,0.0021929824561403577
Logistic (direction),META,10,2520,0.003177519712764809,0.0032487608431070792,0.00835935358749951,0.0018905549501386232,0.004611289321099098,9,-0.009013995458821089,0.5236302802174823,0.5244667503136763,0.2795748992543953,248.29221257466588,0.05119047619047619,-0.0008364700961940308,-0.0040983606557377095
Logistic (direction),MRK,12,3024,-0.00018535109214234957,-0.001750852154538185,0.009406347234640839,0.0005284825496917334,5.678535062400317e-05,3,-0.021634864711322255,0.5038029699384281,0.5201014125316914,0.2764776819685045,140.6758046673016,0.08697089947089948,-0.016298442593263296,-0.01960318967153976
Logistic (direction),MSFT,12,3024,0.0012032810979095698,2.7971171524597087e-05,0.0042846294358838445,0.0010896647857601693,0.0009104531086452473,3,-0.009679330136802555,0.5326867816091954,0.5352011494252874,0.013002858934672151,167.05183535963667,0.07936507936507936,-0.0025143678160920446,-0.008752860411899321
Logistic (direction),NEE,12,3024,0.0013162420402896835,0.0022676569867831806,0.005291859282992981,0.0030582866327301117,0.0031755031212433627,9,-0.007718650492278822,0.5478571428571428,0.5503571428571429,0.3325530074873131,152.31539790744773,0.07407407407407407,-0.0025000000000000577,-0.0021645021645021467
Logistic (direction),NFLX,12,3024,0.0008418173276008023,-0.0013710804618165724,0.00785947392779499,-0.0011276286386546763,1.583278942800122e-05,3,-0.016627126225506883,0.5166204986149584,0.5138504155124654,0.12590310602578697,272.03075253934077,0.04497354497354497,0.0027700831024930483,-0.008205154152330807
Logistic (direction),NKE,12,3024,0.0026630309839904553,0.002532279186510176,0.009181554004137116,0.0019878500993274484,0.004111333732550934,7,-0.01483732081993816,0.5292230933713471,0.50784034212402,0.0007545236637846778,192.2202319877147,0.07208994708994709,0.021382751247327136,-0.006598183306693706
Logistic (direction),NVDA,12,3024,0.0016479004883829251,0.0008759824335030364,0.008822413035682089,-0.0005864547286429378,0.002004048275553702,7,-0.011532741829054283,0.5231879079354174,0.5465475781518379,0.586272008691909,295.69820356857673,0.03736772486772487,-0.02335967021642049,0.0
Logistic (direction),ORCL,12,3024,0.0011191701150139455,0.0015762513614156297,0.0047329625913282635,0.0015907192845842633,0.0021332123763596915,7,-0.0045503198029690495,0.533856022808268,0.5367070563079116,0.2396316981370179,198.23913197237326,0.07208994708994709,-0.0028510334996435516,0.0
Logistic (direction),PFE,12,3024,-0.00017103681139918336,-0.0012373808082581372,0.008116387366126274,-0.00034484492209685413,0.0006559272070797328,2,-0.022063768976974707,0.514933429291112,0.5023389708528248,0.08217370321318396,144.8151566582357,0.08101851851851852,0.012594458438287215,-0.006493506493506607
Logistic (direction),PG,12,3024,0.001222716234238308,0.0006493439955538952,0.0029372676952013044,0.0007417780133468499,0.0011622938603609704,1,-0.004993104517323932,0.5275415896487985,0.5275415896487985,0.4367693795388756,114.35979027389801,0.105489417989418,0.0,0.0
Logistic (direction),TSLA,11,2772,-0.00020266372645938446,0.0005885169063775523,0.005031461436019088,0.0009934885758714485,0.001228968560539756,5,-0.005815999635244484,0.5135738192636667,0.5172926738564522,0.7344788900899675,362.4317074675145,0.029942279942279944,-0.0037188545927854255,0.0
Logistic (direction),UNH,12,3024,-0.0017450577510518261,0.0011359428023499836,0.007795547831295527,0.003444628916052961,0.002817061945795492,11,-0.017356367775550607,0.5312831389183457,0.5291622481442205,0.026564159769365187,184.00699097154558,0.06448412698412699,0.0021208907741251393,0.004301095160574198
Logistic (direction),WMT,12,3024,0.0041762047029441085,0.003030629158960324,0.010192888086857085,0.0019332932674397951,0.004062960353507808,1,-0.008325013981062002,0.5375912408759124,0.537956204379562,0.5132057729340294,132.94203316206804,0.09391534391534391,-0.00036496350364967345,0.0
Logistic (direction),XOM,12,3024,-0.001223419317960106,-0.0008247268854843041,0.00483541132375866,0.0003560121358660573,-0.00017556569303666216,7,-0.007965500002408366,0.5,0.5131485429992892,0.6370090926314397,169.21420722246003,0.06944444444444445,-0.013148542999289248,-0.028290598290598323
